i,fn,ln,tp,ap,g,a,tid,tn,pos,cv,day,dt,iposl,ismc,mdsum_0_cur,mdsum_0_day,mdsum_0_md,mdsum_0_mdst,mdsum_0_t1,mdsum_0_t1g,mdsum_0_t1im,mdsum_0_t2,mdsum_0_t2g,mdsum_0_t2im,mdsum_1_cur,mdsum_1_day,mdsum_1_md,mdsum_1_mdst,mdsum_1_t1,mdsum_1_t1g,mdsum_1_t1im,mdsum_1_t2,mdsum_1_t2g,mdsum_1_t2im,mdsum_2_cur,mdsum_2_day,mdsum_2_md,mdsum_2_mdst,mdsum_2_t1,mdsum_2_t1g,mdsum_2_t1im,mdsum_2_t2,mdsum_2_t2g,mdsum_2_t2im,mv,mvt,nin,opl_0_iposl,opl_0_li,opl_0_lnm,opl_0_onm,opl_0_oui,opl_1_iposl,opl_1_li,opl_1_lnm,opl_1_onm,opl_1_oui,opl_1_uim,oui,ph_0_hp,ph_0_p,ph_1_hp,ph_1_p,ph_2_hp,ph_2_p,ph_3_hp,ph_3_p,ph_4_hp,ph_4_p,pim,plpim,plpt,plpurl,prob,r,sec,shn,sl,smc,smdc,st,stl_0,stl_1,stud,stxt,tfhmvt,tim,ts,y,fair_market_value,mv_diff,mv_diff_pct
10006,James,Sands,730.0,52.0,0.0,0.0,39,St. Pauli,3,4400000,15,2025-10-27T10:24:35Z,False,14.0,True,15,2025-12-21T14:30:00Z,2,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,False,16,2026-01-10T14:30:00Z,0,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,43,0,content/file/29ceb88867954b548ca9e27d39d050c2.svg,False,17,2026-01-14T17:30:00Z,0,11,0,content/file/f23d72a0cf2d48a2a29ede777110aece.svg,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,4843381,1,,False,9323441,mytestleauge,,0,False,7469936,buli,Dara,3292051,user/b45a2388fa3149dc98e4e494503d198b.jpe,0,True,109.0,True,67.0,True,75.0,True,18.0,True,58.0,content/file/bfe00382aca84ecdb04ed1a25128e3fc.png,content/file/e252a7222f0e41f38874cce0dfa82fbf.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,1,0.0,75501.0,6,True,14.0,15,0,,,67.0,,127655,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,2025-12-22T15:03:06Z,3.0,8151853.851886329,3308472.8518863292,68.31
10010,Abdoulie,Ceesay,-93.0,-9.0,0.0,0.0,39,St. Pauli,4,500000,15,2025-09-25T10:31:16Z,False,10.0,True,15,2025-12-21T14:30:00Z,2,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,False,16,2026-01-10T14:30:00Z,0,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,43,0,content/file/29ceb88867954b548ca9e27d39d050c2.svg,False,17,2026-01-14T17:30:00Z,0,11,0,content/file/f23d72a0cf2d48a2a29ede777110aece.svg,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,500000,0,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,False,,True,-8.0,True,-19.0,True,-11.0,content/file/e62493694e1d425caa7cd2c496b15e11.png,content/file/e252a7222f0e41f38874cce0dfa82fbf.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,4,0.0,15214.0,9,True,0.0,15,0,,,99.0,,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,2025-12-22T15:03:06Z,2.0,3000000.0,2500000.0,500.0
10024,Joël,Schmied,532.0,48.0,0.0,0.0,28,Köln,2,1600000,15,2025-12-12T14:05:45Z,False,11.0,True,15,2025-12-20T14:30:00Z,2,28,0,content/file/dca70c4089fd4623932b245c0e81eaba.svg,40,1,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,False,16,2026-01-10T14:30:00Z,0,50,0,content/file/f387dd39aafb47d0b4863381fc4a521c.svg,28,0,content/file/dca70c4089fd4623932b245c0e81eaba.svg,False,17,2026-01-14T19:30:00Z,0,28,0,content/file/dca70c4089fd4623932b245c0e81eaba.svg,2,0,content/file/ff70df040a9f4179a7b45219225a2273.svg,1432082,2,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,False,,False,,False,,True,-46.0,content/file/df63e32e1ac3413a9a2e4f1626549c12.png,content/file/5715de22c4a946f69bc31bfbc6394797.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,3,0.0,55015.0,2,False,9.0,15,2,2.0,,20.0,After muscle injury in thigh – comeback unlikely until 2026,-85043,content/file/dca70c4089fd4623932b245c0e81eaba.svg,2025-12-22T15:03:06Z,4.0,5702087.169560779,4270005.169560779,298.17
10043,Alejo,Sarco,76.0,38.0,0.0,0.0,7,Leverkusen,4,500000,15,2025-05-26T13:13:47Z,False,2.0,True,15,2025-12-20T17:30:00Z,2,43,1,content/file/29ceb88867954b548ca9e27d39d050c2.svg,7,3,content/file/e06a055a6eaf4fd7bebfadb35037f957.svg,False,16,2026-01-10T17:30:00Z,0,7,0,content/file/e06a055a6eaf4fd7bebfadb35037f957.svg,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,False,17,2026-01-13T19:30:00Z,0,6,0,content/file/c9b7d8772f324f9badeb285af4c5810a.svg,7,0,content/file/e06a055a6eaf4fd7bebfadb35037f957.svg,500000,0,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,True,29.0,False,,False,,False,,content/file/25ae6dfc46154944861826fe130cfd94.png,content/file/55ce4d076a4e456e90a26e1daec39850.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,5,0.0,3278.0,18,True,0.0,15,0,,,220.0,Fit,0,content/file/e06a055a6eaf4fd7bebfadb35037f957.svg,2025-12-22T15:03:06Z,0.0,3000000.0,2500000.0,500.0
10049,Hennes,Behrens,,,,,14,Hoffenheim,2,500000,15,2025-07-30T10:25:06Z,False,,True,15,2025-12-20T14:30:00Z,2,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,14,0,content/file/5212904732a04199aab426e44067347c.svg,False,16,2026-01-10T14:30:00Z,0,10,0,content/file/a7e609e72fb04c6d8c96e8ed82f0315d.svg,14,0,content/file/5212904732a04199aab426e44067347c.svg,False,17,2026-01-14T19:30:00Z,0,14,0,content/file/5212904732a04199aab426e44067347c.svg,15,0,content/file/7178ef92ad0747a5ad1a05d0783f5088.svg,500000,0,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,False,,False,,False,,False,,content/file/ba2b425f6e4346aca1f3b560f566c200.png,content/file/44c8475a35c84c3583bd35a80201c011.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,5,,,40,True,,15,0,,,156.0,,0,content/file/5212904732a04199aab426e44067347c.svg,2025-12-22T15:03:06Z,,3000000.0,2500000.0,500.0
10050,Elye,Wahi,143.0,14.0,0.0,1.0,4,Frankfurt,4,1300000,15,2025-12-30T11:38:10Z,False,10.0,True,15,2025-12-20T14:30:00Z,2,6,1,content/file/c9b7d8772f324f9badeb285af4c5810a.svg,4,1,content/file/422de82bee3b47eb898699d6d27095ba.svg,False,16,2026-01-09T19:30:00Z,0,4,0,content/file/422de82bee3b47eb898699d6d27095ba.svg,3,0,content/file/dc3d63ae79bf4282a4107bafcd572b99.svg,False,17,2026-01-13T17:30:00Z,0,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,4,0,content/file/422de82bee3b47eb898699d6d27095ba.svg,943659,2,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,False,,False,,False,,True,11.0,content/file/6ae6dd5ad7e1441daad87df9a03c9131.png,content/file/f97836ff80e844f1a0c82559546ee9d0.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,5,0.0,22819.0,17,True,3.0,15,0,,,2.0,,-127863,content/file/422de82bee3b47eb898699d6d27095ba.svg,2025-12-31T09:49:08Z,1.0,3000000.0,2056341.0,217.91
10064,Arnaud,Nordin,275.0,25.0,0.0,0.0,18,Mainz,4,1200000,15,2025-11-25T14:46:09Z,False,11.0,True,15,2025-12-21T14:30:00Z,2,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,39,0,content/file/cae200d5499e43c4a5c382a1fbb25435.svg,False,16,2026-01-10T14:30:00Z,0,40,0,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,False,17,2026-01-13T19:30:00Z,0,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,50,0,content/file/f387dd39aafb47d0b4863381fc4a521c.svg,1799651,1,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,True,32.0,True,22.0,True,-6.0,False,,content/file/1daab91bfeb34b23b595f9f430e1d37e.png,content/file/d88e053cece04cd698c72012de00f81b.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,4,0.0,31815.0,9,True,5.0,15,0,,,37.0,,173380,content/file/d4ac9675b44944039d463837f888cb1c.svg,2025-12-22T15:03:06Z,0.0,3346994.9427490174,1547343.9427490174,85.98
10105,Bazoumana,Touré,1393.0,100.0,2.0,4.0,14,Hoffenheim,3,14800000,15,2025-12-15T10:43:21Z,False,14.0,True,15,2025-12-20T14:30:00Z,2,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,14,0,content/file/5212904732a04199aab426e44067347c.svg,False,16,2026-01-10T14:30:00Z,0,10,0,content/file/a7e609e72fb04c6d8c96e8ed82f0315d.svg,14,0,content/file/5212904732a04199aab426e44067347c.svg,False,17,2026-01-14T19:30:00Z,0,14,0,content/file/5212904732a04199aab426e44067347c.svg,15,0,content/file/7178ef92ad0747a5ad1a05d0783f5088.svg,14848581,1,,False,9323441,mytestleauge,,0,False,7469936,buli,nico,3834010,,0,False,,True,163.0,True,28.0,True,207.0,True,31.0,content/file/1fb7ab4992564b92b63872e365408b51.png,content/file/44c8475a35c84c3583bd35a80201c011.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,3,0.0,70237.0,29,True,14.0,15,256,256.0,,18.0,Absent – participating in the Africa Cup of Nations,10878,content/file/5212904732a04199aab426e44067347c.svg,2025-12-22T15:03:06Z,1.0,18780189.800670132,3931608.800670132,26.48
10106,Marin,Ljubicic,,,,,40,Union Berlin,4,500000,15,2025-02-05T10:03:28Z,False,,True,15,2025-12-20T14:30:00Z,2,28,0,content/file/dca70c4089fd4623932b245c0e81eaba.svg,40,1,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,False,16,2026-01-10T14:30:00Z,0,40,0,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,18,0,content/file/d4ac9675b44944039d463837f888cb1c.svg,False,17,2026-01-15T19:30:00Z,0,13,0,content/file/8d68c946b9774505b8292adfa910d0a0.svg,40,0,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,500000,0,,False,9323441,mytestleauge,,0,False,7469936,buli,,0,,0,False,,False,,False,,False,,False,,content/file/19e50929506d4439bfdaa6129f96e7ee.png,content/file/a7df46fd064c4595b34539985c02863d.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,5,,,27,True,,15,0,,,331.0,Fit,0,content/file/8f4c7c08ee9b4dca85c28260fc5917bd.svg,2025-12-22T15:03:06Z,,3000000.0,2500000.0,500.0
10112,Luca,Jaquez,600.0,120.0,0.0,1.0,9,Stuttgart,2,5300000,15,2025-12-02T10:38:16Z,False,5.0,True,15,2025-12-20T14:30:00Z,2,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,14,0,content/file/5212904732a04199aab426e44067347c.svg,False,16,2026-01-10T17:30:00Z,0,7,0,content/file/e06a055a6eaf4fd7bebfadb35037f957.svg,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,False,17,2026-01-13T17:30:00Z,0,9,0,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,4,0,content/file/422de82bee3b47eb898699d6d27095ba.svg,5278284,2,,False,9323441,mytestleauge,,0,False,7469936,buli,DeGenenger,3565808,,0,False,,False,,False,,False,,False,,content/file/3930823f7eb246aab32d7075bf65943d.png,content/file/b62a1f9df81d48d8bda130bb22e3d63e.png,Ligainsider,content/file/ef187fece16544febb50bd330706fd7d.png,5,0.0,26542.0,14,True,5.0,15,1,1.0,,31.0,Muscle injury in the thigh - out until the winter break,-82701,content/file/9a1bb78d0ccf45f895797c0c6d8c4d40.svg,2025-12-22T15:03:06Z,1.0,6494180.291941133,1215896.2919411333,23.04
